category,Median Home Price (NSA),CPI-Adjusted Price
Thu Jan 15 1953,18080.26,214519.57
Sun Feb 15 1953,18080.26,215329.07
Sun Mar 15 1953,18080.26,214519.57
Wed Apr 15 1953,18122.25,215017.77
Fri May 15 1953,18143.25,214460.69
Mon Jun 15 1953,18143.25,213660.46
Wed Jul 15 1953,18185.25,214155.07
Sat Aug 15 1953,18206.25,213605.34
Tue Sep 15 1953,18227.25,213851.72
Thu Oct 15 1953,18227.25,213059.68
Sun Nov 15 1953,18206.25,213605.34
Tue Dec 15 1953,18206.25,213605.34
Fri Jan 15 1954,18206.25,213605.34
Mon Feb 15 1954,18227.25,213851.72
Mon Mar 15 1954,18227.25,213851.72
Thu Apr 15 1954,18206.25,214402.37
Sat May 15 1954,18206.25,213605.34
Tue Jun 15 1954,18227.25,213851.72
Thu Jul 15 1954,18290.25,214590.87
Sun Aug 15 1954,18332.24,215083.52
Wed Sep 15 1954,18374.24,216380.67
Fri Oct 15 1954,18353.24,216133.37
Mon Nov 15 1954,18353.24,216133.37
Wed Dec 15 1954,18374.24,217191.09
Sat Jan 15 1955,18395.24,217439.32
Tue Feb 15 1955,18332.24,216694.63
Tue Mar 15 1955,18290.25,216198.29
Fri Apr 15 1955,18185.25,214957.15
Sun May 15 1955,18185.25,214957.15
Wed Jun 15 1955,18269.25,215950.06
Fri Jul 15 1955,18332.24,215886.07
Mon Aug 15 1955,18437.24,217122.58
Thu Sep 15 1955,18479.24,216808.2
Sat Oct 15 1955,18458.24,216561.82
Tue Nov 15 1955,18416.24,216069.05
Thu Dec 15 1955,18374.24,216380.67
Sun Jan 15 1956,18332.24,215886.07
Wed Feb 15 1956,18269.25,215144.28
Thu Mar 15 1956,18206.25,214402.37
Sun Apr 15 1956,18122.25,212619.8
Tue May 15 1956,18143.25,212077.79
Fri Jun 15 1956,18332.24,212711.27
Sun Jul 15 1956,18479.24,212851.84
Wed Aug 15 1956,18605.23,215088.04
Sat Sep 15 1956,18584.23,214061.16
Mon Oct 15 1956,18563.24,213041.87
Thu Nov 15 1956,18521.24,212559.85
Sat Dec 15 1956,18542.24,212029.84
Tue Jan 15 1957,18605.23,212750.13
Fri Feb 15 1957,18773.23,213896.22
Fri Mar 15 1957,18773.23,213126.81
Mon Apr 15 1957,18899.22,213788.11
Wed May 15 1957,18962.22,213734.69
Sat Jun 15 1957,18899.22,212266.49
Mon Jul 15 1957,18899.22,210766.37
Thu Aug 15 1957,18899.22,210766.37
